"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 15 12:55:56 EET 2024","Mon Apr 15 12:55:56 EET 2024","0","All Test Suite","C:/Users/AbdElRahman/IdeaProjects/TestAutomationExercise-Website","testCases.TestCases1","testCases.TestCases1","setUp","setUp",""
"passed","Tue Apr 16 07:31:55 EET 2024","Tue Apr 16 07:31:59 EET 2024","3740","All Test Suite","C:/Users/AbdElRahman/IdeaProjects/TestAutomationExercise-Website","testCases.TestCases1","testCases.TestCases1","test_3","test_3","Test Case 3: Login User with incorrect email and password"
"passed","Tue Apr 16 07:30:47 EET 2024","Tue Apr 16 07:31:09 EET 2024","21770","All Test Suite","C:/Users/AbdElRahman/IdeaProjects/TestAutomationExercise-Website","testCases.TestCases1","testCases.TestCases1","test_1","test_1","Test Case 1: Register User"
"broken","Mon Apr 15 10:33:18 EET 2024","Mon Apr 15 10:33:18 EET 2024","0","All Test Suite","C:/Users/AbdElRahman/IdeaProjects/TestAutomationExercise-Website","testCases.TestCases2","testCases.TestCases2","setUp","setUp",""
"broken","Mon Apr 15 15:40:23 EET 2024","Mon Apr 15 15:40:23 EET 2024","0","All Test Suite","C:/Users/AbdElRahman/IdeaProjects/TestAutomationExercise-Website","testCases.TestCases1","testCases.TestCases1","tearDown","tearDown",""
"broken","Mon Apr 15 13:36:35 EET 2024","Mon Apr 15 13:36:35 EET 2024","0","All Test Suite","C:/Users/AbdElRahman/IdeaProjects/TestAutomationExercise-Website","testCases.TestCases2","testCases.TestCases2","tearDown","tearDown",""
"passed","Tue Apr 16 07:32:09 EET 2024","Tue Apr 16 07:32:22 EET 2024","13537","All Test Suite","C:/Users/AbdElRahman/IdeaProjects/TestAutomationExercise-Website","testCases.TestCases2","testCases.TestCases2","test_4","test_4",""
"passed","Tue Apr 16 07:41:13 EET 2024","Tue Apr 16 07:41:35 EET 2024","22378","Default Suite","TestAutomationExercise-Website","testCases.TestCases1","testCases.TestCases1","test_2","test_2","Test Case 2: Login User with correct email and password"
